,Ticker,close,date,high,low,month,open,volume
353,ITC,450.7,2023-10-12 05:30:00,452.5,446.15,2023-10,449.65,11774487
354,TCS,3542.55,2023-10-12 05:30:00,3588.65,3538.1,2023-10,3575.0,4241281
355,LT,3081.75,2023-10-12 05:30:00,3105.05,3067.05,2023-10,3094.0,1870280
356,TATACONSUM,881.39,2023-10-12 05:30:00,883.17,872.36,2023-10,877.99,765845
357,RELIANCE,1174.7,2023-10-12 05:30:00,1179.68,1169.08,2023-10,1171.93,12554450
358,HCLTECH,1223.75,2023-10-12 05:30:00,1248.55,1215.15,2023-10,1245.0,3921609
359,JSWSTEEL,783.45,2023-10-12 05:30:00,789.95,779.45,2023-10,782.4,2139718
360,ULTRACEMCO,8351.75,2023-10-12 05:30:00,8385.0,8302.0,2023-10,8364.95,177704
361,POWERGRID,200.75,2023-10-12 05:30:00,202.0,197.35,2023-10,197.35,21872719
362,INFY,1465.5,2023-10-12 05:30:00,1504.4,1452.0,2023-10,1491.9,11081662
363,TRENT,2077.2,2023-10-12 05:30:00,2107.8,2070.0,2023-10,2105.0,285544
364,BHARTIARTL,950.35,2023-10-12 05:30:00,956.8,947.0,2023-10,955.6,5544735
365,TATAMOTORS,636.95,2023-10-12 05:30:00,640.2,635.05,2023-10,637.0,5928732
366,WIPRO,417.1,2023-10-12 05:30:00,421.9,414.7,2023-10,421.75,5117199
367,TECHM,1198.75,2023-10-12 05:30:00,1232.0,1189.3,2023-10,1232.0,2452842
368,NTPC,241.6,2023-10-12 05:30:00,242.75,238.6,2023-10,238.95,13170027
369,HINDUNILVR,2557.0,2023-10-12 05:30:00,2567.55,2539.2,2023-10,2555.0,1625010
370,APOLLOHOSP,4993.85,2023-10-12 05:30:00,5113.95,4871.7,2023-10,5092.8,1029595
371,M&M,1566.65,2023-10-12 05:30:00,1570.05,1555.6,2023-10,1559.0,1731806
372,GRASIM,1993.87,2023-10-12 05:30:00,2013.99,1959.06,2023-10,1983.02,2092103
373,ICICIBANK,954.25,2023-10-12 05:30:00,960.1,948.4,2023-10,952.85,7836818
374,ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,2023-10,2499.9,1804818
375,ADANIPORTS,814.95,2023-10-12 05:30:00,823.25,812.55,2023-10,818.55,2563606
376,BEL,138.2,2023-10-12 05:30:00,138.7,137.2,2023-10,137.95,7567439
377,BAJAJFINSV,1634.8,2023-10-12 05:30:00,1642.95,1622.85,2023-10,1637.0,1052767
378,EICHERMOT,3494.2,2023-10-12 05:30:00,3534.95,3476.45,2023-10,3490.0,644992
379,COALINDIA,307.2,2023-10-12 05:30:00,309.1,301.9,2023-10,302.55,15375295
380,MARUTI,10580.9,2023-10-12 05:30:00,10624.5,10420.2,2023-10,10460.0,569237
381,INDUSINDBK,1424.25,2023-10-12 05:30:00,1444.0,1421.0,2023-10,1433.3,2069952
382,ASIANPAINT,3159.1,2023-10-12 05:30:00,3188.5,3150.05,2023-10,3186.0,992531
383,TATASTEEL,125.9,2023-10-12 05:30:00,126.9,125.1,2023-10,125.35,19361688
384,HDFCLIFE,624.65,2023-10-12 05:30:00,626.3,619.0,2023-10,622.05,2810053
385,DRREDDY,1106.04,2023-10-12 05:30:00,1116.81,1103.0,2023-10,1113.52,1695245
386,SUNPHARMA,1130.4,2023-10-12 05:30:00,1132.55,1121.2,2023-10,1129.0,1221965
387,KOTAKBANK,1763.85,2023-10-12 05:30:00,1776.9,1761.25,2023-10,1775.0,2383827
388,SHRIRAMFIN,1878.1,2023-10-12 05:30:00,1908.55,1875.0,2023-10,1908.55,662797
389,NESTLEIND,2307.52,2023-10-12 05:30:00,2330.0,2296.21,2023-10,2322.3,542220
390,ONGC,184.45,2023-10-12 05:30:00,184.85,183.0,2023-10,183.2,8677885
391,CIPLA,1157.9,2023-10-12 05:30:00,1186.35,1152.45,2023-10,1179.05,2533930
392,BPCL,174.35,2023-10-12 05:30:00,175.18,172.03,2023-10,172.45,7703802
393,BRITANNIA,4560.75,2023-10-12 05:30:00,4591.6,4531.0,2023-10,4582.0,518582
394,SBILIFE,1313.65,2023-10-12 05:30:00,1317.4,1300.95,2023-10,1311.95,726322
395,HINDALCO,484.4,2023-10-12 05:30:00,494.0,482.55,2023-10,483.1,6895255
396,HEROMOTOCO,3088.25,2023-10-12 05:30:00,3132.1,3064.95,2023-10,3116.95,927642
397,AXISBANK,1018.45,2023-10-12 05:30:00,1031.0,1014.95,2023-10,1022.0,4920222
398,HDFCBANK,1549.85,2023-10-12 05:30:00,1552.0,1531.6,2023-10,1536.1,11012668
399,BAJAJ-AUTO,5106.6,2023-10-12 05:30:00,5151.0,5051.1,2023-10,5085.0,472168
400,SBIN,576.15,2023-10-13 05:30:00,581.3,574.8,2023-10,577.75,19064577
401,BAJFINANCE,8051.65,2023-10-13 05:30:00,8082.9,7956.05,2023-10,7999.55,662282
402,TITAN,3283.75,2023-10-13 05:30:00,3307.0,3266.55,2023-10,3285.0,920545
403,ITC,448.35,2023-10-13 05:30:00,451.8,447.0,2023-10,449.85,7632483
404,TCS,3570.85,2023-10-13 05:30:00,3577.0,3525.0,2023-10,3530.0,2890357
405,LT,3089.6,2023-10-13 05:30:00,3099.0,3063.5,2023-10,3067.75,1437808
406,TATACONSUM,902.14,2023-10-13 05:30:00,906.73,877.94,2023-10,879.32,5057274
407,RELIANCE,1174.65,2023-10-13 05:30:00,1178.75,1164.58,2023-10,1170.0,10150316
408,HCLTECH,1255.9,2023-10-13 05:30:00,1266.5,1208.55,2023-10,1211.0,5740821
409,JSWSTEEL,777.25,2023-10-13 05:30:00,780.0,773.0,2023-10,778.0,998547
410,ULTRACEMCO,8369.0,2023-10-13 05:30:00,8417.0,8307.0,2023-10,8316.5,285076
411,POWERGRID,201.8,2023-10-13 05:30:00,202.4,199.3,2023-10,200.45,13105921
412,INFY,1431.15,2023-10-13 05:30:00,1438.0,1400.0,2023-10,1405.0,17973439
413,TRENT,2084.8,2023-10-13 05:30:00,2109.7,2071.45,2023-10,2075.0,321887
414,BHARTIARTL,954.2,2023-10-13 05:30:00,955.95,946.3,2023-10,946.3,4421671
415,TATAMOTORS,667.1,2023-10-13 05:30:00,669.0,633.0,2023-10,633.95,28011678
416,WIPRO,411.05,2023-10-13 05:30:00,414.4,409.05,2023-10,411.9,5457027
417,TECHM,1194.1,2023-10-13 05:30:00,1202.95,1180.0,2023-10,1187.0,3266079
418,NTPC,242.05,2023-10-13 05:30:00,243.8,239.6,2023-10,240.55,11880728
419,HINDUNILVR,2569.45,2023-10-13 05:30:00,2576.7,2542.7,2023-10,2553.05,1531977
420,APOLLOHOSP,5017.3,2023-10-13 05:30:00,5029.1,4933.75,2023-10,4988.95,410013
421,M&M,1562.45,2023-10-13 05:30:00,1574.4,1550.3,2023-10,1560.5,1465554
422,GRASIM,1974.75,2023-10-13 05:30:00,1992.78,1966.53,2023-10,1988.05,305238
423,ICICIBANK,951.3,2023-10-13 05:30:00,957.4,944.55,2023-10,949.95,6650442
424,ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,2023-10,2488.9,2278682
425,ADANIPORTS,813.75,2023-10-13 05:30:00,824.8,805.85,2023-10,812.0,3801000
426,BEL,137.45,2023-10-13 05:30:00,138.2,136.3,2023-10,136.3,8303230
427,BAJAJFINSV,1646.55,2023-10-13 05:30:00,1649.0,1620.0,2023-10,1631.0,1212989
428,EICHERMOT,3476.4,2023-10-13 05:30:00,3500.0,3441.0,2023-10,3481.0,280442
429,COALINDIA,307.95,2023-10-13 05:30:00,310.85,304.45,2023-10,305.0,9516879
430,MARUTI,10727.5,2023-10-13 05:30:00,10745.0,10529.8,2023-10,10534.0,625954
431,INDUSINDBK,1463.7,2023-10-13 05:30:00,1466.3,1420.0,2023-10,1421.2,4480890
432,ASIANPAINT,3148.8,2023-10-13 05:30:00,3172.0,3128.25,2023-10,3150.0,854688
433,TATASTEEL,125.05,2023-10-13 05:30:00,125.75,124.0,2023-10,125.0,26912800
434,HDFCLIFE,625.25,2023-10-13 05:30:00,633.0,614.5,2023-10,623.25,5462771
435,DRREDDY,1092.04,2023-10-13 05:30:00,1104.82,1084.32,2023-10,1085.44,1633255
436,SUNPHARMA,1145.3,2023-10-13 05:30:00,1147.2,1122.0,2023-10,1126.1,1934884
437,KOTAKBANK,1762.0,2023-10-13 05:30:00,1769.95,1752.15,2023-10,1755.0,2123927
438,SHRIRAMFIN,1880.95,2023-10-13 05:30:00,1886.75,1870.4,2023-10,1874.85,596784
439,NESTLEIND,2355.44,2023-10-13 05:30:00,2359.98,2295.54,2023-10,2307.51,907910
440,ONGC,184.9,2023-10-13 05:30:00,186.25,184.05,2023-10,184.5,7435899
